level_file,param,value,total_time,collisions,goals,results_file
warehouse_level_1,epsilon_decay,0.95,,,,DQNAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.95_tau0.01.json
warehouse_level_1,epsilon_decay,0.98,,,,DQNAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.01.json
warehouse_level_1,epsilon_decay,0.995,,,,DQNAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.995_tau0.01.json
warehouse_level_1,tau,0.005,,,,DQNAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.005.json
warehouse_level_1,tau,0.01,,,,DQNAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.01.json
warehouse_level_1,tau,0.02,,,,DQNAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.02.json
warehouse_level_1,buffer,5000,,,,DQNAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap5000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.01.json
warehouse_level_1,buffer,20000,,,,DQNAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap20000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.01.json
warehouse_level_1,buffer,100000,,,,DQNAgent_training_metrics_warehouse_level_1_e300_max_steps3000_g0.99_lr0.0003_bcap100000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.01.json
warehouse_level_2,epsilon_decay,0.95,,,,DQNAgent_training_metrics_warehouse_level_2_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.95_tau0.01.json
warehouse_level_2,epsilon_decay,0.98,,,,DQNAgent_training_metrics_warehouse_level_2_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.01.json
warehouse_level_2,epsilon_decay,0.995,,,,DQNAgent_training_metrics_warehouse_level_2_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.995_tau0.01.json
warehouse_level_2,tau,0.005,,,,DQNAgent_training_metrics_warehouse_level_2_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.005.json
warehouse_level_2,tau,0.01,,,,DQNAgent_training_metrics_warehouse_level_2_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.01.json
warehouse_level_2,tau,0.02,,,,DQNAgent_training_metrics_warehouse_level_2_e300_max_steps3000_g0.99_lr0.0003_bcap10000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.02.json
warehouse_level_2,buffer,5000,,,,DQNAgent_training_metrics_warehouse_level_2_e300_max_steps3000_g0.99_lr0.0003_bcap5000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.01.json
warehouse_level_2,buffer,20000,,,,DQNAgent_training_metrics_warehouse_level_2_e300_max_steps3000_g0.99_lr0.0003_bcap20000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.01.json
warehouse_level_2,buffer,100000,,,,DQNAgent_training_metrics_warehouse_level_2_e300_max_steps3000_g0.99_lr0.0003_bcap100000_bsize128_hdim128_eps_s1.0_eps_e0.001_eps_d0.98_tau0.01.json
