agent,level,episodes,max_steps,gamma,lr,bcap,bsize,hdim,lam,clip_eps,entropy,ppo_epochs,total_time,collision_count,goals_reached
ppo,2,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.4,4,23.500000000000327,7,1
ppo,2,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.1,4,1499.999999999293,2,0
ppo,3,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.4,8,1499.999999999293,0,0
ppo,1,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.01,4,30.00000000000065,8,1
ppo,3,300,3000,0.99,0.0003,10000,128,128,0.95,0.3,0.4,4,1499.999999999293,0,0
ppo,3,300,3000,0.99,0.0003,10000,128,128,0.93,0.2,0.4,4,193.4999999999916,6,1
ppo,2,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.4,2,1499.999999999293,2,0
ppo,2,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.4,6,1499.999999999293,1,0
ppo,1,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.4,4,1499.999999999293,5,0
ppo,1,300,3000,0.99,0.0003,10000,128,128,0.95,0.3,0.4,4,1499.999999999293,2,0
ppo,1,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.4,8,1499.999999999293,6,0
ppo,3,300,3000,0.99,0.0003,10000,128,128,0.97,0.2,0.4,4,1499.999999999293,1,0
ppo,2,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.05,4,62.49999999999901,11,1
ppo,1,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.4,2,1499.999999999293,2,0
ppo,2,300,3000,0.99,0.0003,10000,128,128,0.95,0.1,0.4,4,1499.999999999293,0,0
ppo,2,300,3000,0.99,0.0003,10000,128,128,0.99,0.2,0.4,4,1499.999999999293,12,0
ppo,2,300,3000,0.99,0.0003,10000,128,128,0.95,0.4,0.4,4,1499.999999999293,1,0
ppo,1,300,3000,0.99,0.0003,10000,128,128,0.95,0.5,0.4,4,1499.999999999293,1,0
ppo,1,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.4,6,34.500000000000604,12,1
ppo,3,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.4,4,1499.999999999293,0,0
ppo,3,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.4,10,1499.999999999293,3,0
ppo,3,300,3000,0.99,0.0003,10000,128,128,0.95,0.5,0.4,4,67.9999999999987,5,1
ppo,1,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.05,4,35.000000000000576,8,1
ppo,3,300,3000,0.99,0.0003,10000,128,128,0.95,0.2,0.01,4,1499.999999999293,0,0
